branch,file,chain_rank,caller_function,core_function,callee_function,caller_evidence,core_evidence,callee_evidence,chain_score,confidence,notes
90CYE_DKS,90CYE03_19_DKS.PZU,1,0x84A6,0x7017,0x84A6,"common_mash_dispatcher_candidate,event_queue_candidate,led_control_candidate,packet_export_candidate,polling_loop_candidate","common_mash_dispatcher_candidate,event_queue_candidate,led_control_candidate,packet_export_candidate,polling_loop_candidate","common_mash_dispatcher_candidate,event_queue_candidate,led_control_candidate,packet_export_candidate,polling_loop_candidate",15.600,medium,local call chain: dispatcher->polling/state->event|packet candidate
90CYE_DKS,90CYE03_19_DKS.PZU,2,0x84A6,0x737C,0x84A6,"common_mash_dispatcher_candidate,event_queue_candidate,led_control_candidate,packet_export_candidate,polling_loop_candidate","common_mash_dispatcher_candidate,event_queue_candidate,led_control_candidate,packet_export_candidate,polling_loop_candidate","common_mash_dispatcher_candidate,event_queue_candidate,led_control_candidate,packet_export_candidate,polling_loop_candidate",15.600,medium,local call chain: dispatcher->polling/state->event|packet candidate
90CYE_DKS,90CYE03_19_DKS.PZU,3,0x7017,0x84A6,0x728A,"common_mash_dispatcher_candidate,event_queue_candidate,led_control_candidate,packet_export_candidate,polling_loop_candidate","common_mash_dispatcher_candidate,event_queue_candidate,led_control_candidate,packet_export_candidate,polling_loop_candidate","common_mash_dispatcher_candidate,event_queue_candidate,led_control_candidate,packet_export_candidate,polling_loop_candidate",15.600,medium,local call chain: dispatcher->polling/state->event|packet candidate
90CYE_DKS,90CYE03_19_DKS.PZU,4,0x7017,0x84A6,0x737C,"common_mash_dispatcher_candidate,event_queue_candidate,led_control_candidate,packet_export_candidate,polling_loop_candidate","common_mash_dispatcher_candidate,event_queue_candidate,led_control_candidate,packet_export_candidate,polling_loop_candidate","common_mash_dispatcher_candidate,event_queue_candidate,led_control_candidate,packet_export_candidate,polling_loop_candidate",15.600,medium,local call chain: dispatcher->polling/state->event|packet candidate
90CYE_DKS,90CYE03_19_DKS.PZU,5,0x7017,0x84A6,0x7017,"common_mash_dispatcher_candidate,event_queue_candidate,led_control_candidate,packet_export_candidate,polling_loop_candidate","common_mash_dispatcher_candidate,event_queue_candidate,led_control_candidate,packet_export_candidate,polling_loop_candidate","common_mash_dispatcher_candidate,event_queue_candidate,led_control_candidate,packet_export_candidate,polling_loop_candidate",15.600,medium,local call chain: dispatcher->polling/state->event|packet candidate
90CYE_DKS,90CYE03_19_DKS.PZU,6,0x737C,0x84A6,0x728A,"common_mash_dispatcher_candidate,event_queue_candidate,led_control_candidate,packet_export_candidate,polling_loop_candidate","common_mash_dispatcher_candidate,event_queue_candidate,led_control_candidate,packet_export_candidate,polling_loop_candidate","common_mash_dispatcher_candidate,event_queue_candidate,led_control_candidate,packet_export_candidate,polling_loop_candidate",15.600,medium,local call chain: dispatcher->polling/state->event|packet candidate
90CYE_DKS,90CYE03_19_DKS.PZU,7,0x737C,0x84A6,0x737C,"common_mash_dispatcher_candidate,event_queue_candidate,led_control_candidate,packet_export_candidate,polling_loop_candidate","common_mash_dispatcher_candidate,event_queue_candidate,led_control_candidate,packet_export_candidate,polling_loop_candidate","common_mash_dispatcher_candidate,event_queue_candidate,led_control_candidate,packet_export_candidate,polling_loop_candidate",15.600,medium,local call chain: dispatcher->polling/state->event|packet candidate
90CYE_DKS,90CYE03_19_DKS.PZU,8,0x737C,0x84A6,0x7017,"common_mash_dispatcher_candidate,event_queue_candidate,led_control_candidate,packet_export_candidate,polling_loop_candidate","common_mash_dispatcher_candidate,event_queue_candidate,led_control_candidate,packet_export_candidate,polling_loop_candidate","common_mash_dispatcher_candidate,event_queue_candidate,led_control_candidate,packet_export_candidate,polling_loop_candidate",15.600,medium,local call chain: dispatcher->polling/state->event|packet candidate
90CYE_DKS,90CYE03_19_DKS.PZU,9,0x7017,0x84A6,0x7BC2,"common_mash_dispatcher_candidate,event_queue_candidate,led_control_candidate,packet_export_candidate,polling_loop_candidate","common_mash_dispatcher_candidate,event_queue_candidate,led_control_candidate,packet_export_candidate,polling_loop_candidate","common_mash_dispatcher_candidate,event_queue_candidate,led_control_candidate,polling_loop_candidate",14.900,medium,local call chain: dispatcher->polling/state->event|packet candidate
90CYE_DKS,90CYE03_19_DKS.PZU,10,0x7017,0x84A6,0x6E32,"common_mash_dispatcher_candidate,event_queue_candidate,led_control_candidate,packet_export_candidate,polling_loop_candidate","common_mash_dispatcher_candidate,event_queue_candidate,led_control_candidate,packet_export_candidate,polling_loop_candidate","common_mash_dispatcher_candidate,event_queue_candidate,led_control_candidate,polling_loop_candidate",14.900,medium,local call chain: dispatcher->polling/state->event|packet candidate
